Rok,Imie,Liczba,plec,Ranking
2000,NATALIA,11511,K,1
2000,ALEKSANDRA,10940,K,2
2000,WIKTORIA,10144,K,3
2000,JULIA,10074,K,4
2000,WERONIKA,9680,K,5
2000,KAROLINA,7886,K,6
2000,KLAUDIA,6992,K,7
2000,PAULINA,6245,K,8
2000,PATRYCJA,5841,K,9
2000,KATARZYNA,5793,K,10
2000,ANNA,5104,K,11
2000,MAGDALENA,4845,K,12
2000,DOMINIKA,4502,K,13
2000,MARTYNA,3419,K,14
2000,ZUZANNA,3297,K,15
2001,JULIA,12347,K,1
2001,NATALIA,11182,K,2
2001,WIKTORIA,11172,K,3
2001,ALEKSANDRA,10381,K,4
2001,WERONIKA,7415,K,5
2001,KAROLINA,6820,K,6
2001,KLAUDIA,6693,K,7
2001,PATRYCJA,5831,K,8
2001,ZUZANNA,5380,K,9
2001,PAULINA,5085,K,10
2001,KATARZYNA,4907,K,11
2001,MARTYNA,4648,K,12
2001,ANNA,4426,K,13
2001,OLIWIA,4118,K,14
2001,DOMINIKA,3968,K,15
2002,JULIA,11873,K,1
2002,WIKTORIA,11351,K,2
2002,NATALIA,9983,K,3
2002,ALEKSANDRA,9179,K,4
2002,WERONIKA,6480,K,5
2002,ZUZANNA,6211,K,6
2002,MARTYNA,5935,K,7
2002,KAROLINA,5908,K,8
2002,KLAUDIA,5826,K,9
2002,PATRYCJA,4948,K,10
2002,PAULINA,4800,K,11
2002,OLIWIA,4201,K,12
2002,ANNA,3933,K,13
2002,KATARZYNA,3817,K,14
2002,DOMINIKA,3527,K,15
2003,JULIA,12151,K,1
2003,WIKTORIA,11885,K,2
2003,NATALIA,9026,K,3
2003,ALEKSANDRA,8650,K,4
2003,OLIWIA,6639,K,5
2003,WERONIKA,6171,K,6
2003,ZUZANNA,5889,K,7
2003,MARTYNA,5661,K,8
2003,KAROLINA,5333,K,9
2003,PATRYCJA,4744,K,10
2003,KLAUDIA,4552,K,11
2003,PAULINA,3982,K,12
2003,KATARZYNA,3935,K,13
